Issuer Name,Industry,Debt to Equity,EBITDA Margin,Interest Coverage,Issue Size (₹Cr),DefaultFlag,Final Rating
Best Agrolife Ltd.,Pesticides & Agrochemicals,0.50,0.00,21.62,91.5,No,A-
CDS Infra Projects Ltd. (erstwhile CDS Infra Projects Pvt. Ltd.),Civil Construction,0.43,0.00,3.52,785,No,A-
Mundra Solar PV Ltd,Civil Construction,2.19,0.00,4.37,46,No,A-
Ester Industries Ltd,Plastic Products - Industrial,0.81,0.00,25.24,413,No,A-
Growel Feeds Private Limited,Animal Feed,0.75,0.00,2.30,192.05,No,A-
Arora Aromatics Pvt. Ltd.,Other Agricultural Products,0.19,0.00,13.65,142,No,A-
Ruchi Soya Industries Ltd.,Edible Oil,1.37,0.00,2.57,3295.25,No,A-
Rajagiri Healthcare & Education Trust,Education,3.16,0.00,1.94,445.8,No,A-
Gallantt Ispat Ltd.,Iron & Steel Products,0.35,0.00,13.23,140,No,A-
Rising Bhadla 1 Pvt. Ltd.,Other Food Products,4.51,0.00,1.26,338.85,No,A-
Mahalaxmi Infracontract Ltd. (erstwhile Mahalaxmi Infracontract Pvt Ltd),Coal,1.38,0.00,3.56,756.63,No,A-
Assam Roofing Limited,Cement & Cement Products,0.20,0.00,20.80,77.5,No,A-
Vishal Fabrics Ltd,Other Textile Products,1.46,0.00,2.57,371.81,No,A-
Indian Sugar Exim Corporation Ltd.,Sugar,2.42,0.00,2.75,1155,No,A-
Laxmi Civil Engineering Services Pvt. Ltd.,Civil Construction,0.05,0.00,11.79,600,No,A-
Veer Plastics Pvt. Ltd.,Plastic Products - Consumer,1.27,0.00,5.54,295.47,No,A-
Indian Institute of Management-Udaipur,Education,0.06,0.00,21.34,50,No,A-
India Power Corporation Ltd.,Power Distribution,0.50,0.00,4.43,239.54,No,A-
HMB Ispat Pvt. Ltd.,Iron & Steel Products,0.60,0.00,8.32,125,No,A-
Ramalingam Construction Company Pvt. Ltd.,Civil Construction,0.36,0.00,6.93,820,No,A-
B N Agritech Limited,Edible Oil,4.69,0.00,4.33,546,No,A-
J M Mhatre Infra Pvt Ltd,Civil Construction,0.43,0.00,3.69,469,No,A-
Tikaula Sugar Mills Ltd.,Sugar,1.74,0.00,2.78,523.95,No,A-
Teerthanker Mahaveer Institute of Management & Technology,Education,0.05,0.00,16.41,86,No,A-
Vishal Fabrics Ltd,Other Textile Products,1.13,0.00,3.59,371.81,No,A-
Bhagyalaxmi Rolling Mill Pvt. Ltd.,Iron & Steel,1.44,0.00,4.04,325,No,A-
OBRA - C BADAUN Transmission Ltd.,Power - Transmission,7.54,0.00,0.23,586.1,No,A-
RKC Infrabuilt Pvt. Ltd.,Civil Construction,2.03,0.00,11.73,240,No,A-
Alchemist Asset Reconstruction Company Ltd,Other Financial Services,0.62,0.00,3.75,100,No,A-
Vimta Labs Ltd.,"Healthcare Research, Analytics & Technology",0.12,0.00,71.26,57.5,No,A-
Maheshwari Logistics Limited,Paper & Paper Products,1.35,0.00,1.87,292,No,A-
Andhra Pradesh Power Generation Corporation Ltd.,Power Generation,3.95,0.00,1.52,3125.98,No,A
Mahesh Edible Oil Industries Ltd.,Edible Oil,1.29,0.00,3.62,375,No,A
Sri Kauvery Medical Care (India) Ltd (Formerly known as Sri Kavery Medical Care (Trichy) Ltd.),Hospital,0.51,0.00,6.72,456.9,No,A
Hind Energy And Coal Benefication (I) Ltd.,Trading - Coal,5.41,0.00,28.32,60,No,A-
GSPC Pipavav Power Company Ltd,Power Generation,0.70,0.00,4.73,1214,No,A-
Gujarat State Energy Generation Ltd,Power Generation,0.25,0.00,6.37,560,No,A-
DB Power Ltd,Electric Utilities,1.64,0.00,2.93,7692,No,A-
BL Agro Industries Ltd,Edible Oil,2.02,0.00,2.38,605,No,A-
Mahima Fibres Pvt Ltd,Other Textile Products,0.66,0.00,3.70,140.86,No,A-
Arora Aromatics Pvt. Ltd.,Other Food Products,0.39,0.00,11.73,133,No,A-
Indian Institute of Management-Udaipur,Education,0.06,0.00,21.34,70,No,A-
Gimatex Industries Pvt. Ltd.,Other Textile Products,1.63,0.00,3.86,700,No,A-
Siddheshwari Paper Udyog Private Limited (erstwhile Siddheshwari Paper Udyog Ltd),Paper & Paper Products,1.82,0.00,2.28,70,No,A-
Salasar Techno Engineering Ltd.,"Engineering, Designing & Construction",0.86,0.00,3.30,455,No,A-
A.S. Enterprise,"Gems, Jewellery And Watches",0.83,0.00,7.10,10.5,No,A-
Mundra Solar PV Ltd,Other Electrical Equipment,1.79,0.00,2.52,46,No,A-
Best Agrolife Ltd.,Pesticides & Agrochemicals,1.31,0.00,22.85,111.5,No,A-
Hi-Tech Pipes Ltd.,Iron & Steel Products,2.52,0.00,5.51,429,No,A-
Maheshwari Logistics Limited,Transport Related Services,1.17,0.00,2.77,171.85,No,A-
Laxmi Civil Engineering Services Pvt. Ltd.,Civil Construction,0.12,0.00,27.46,600,No,A-
GSPC Pipavav Power Company Ltd,Power Generation,0.70,0.00,4.73,1214,No,A-
Gandhi Institute of Technology and Management,Education,0.65,0.00,5.64,1206.03,No,A-
Kalika Steel Alloys Private Limited,Iron & Steel,0.81,0.00,2.21,182.41,No,A-
Sharmanji Yarns Pvt. Ltd.,Other Textile Products,0.43,0.00,39.11,275,No,A-
RMN Infrastructures Limited,Civil Construction,0.50,0.00,6.42,130,No,A-
GSPC Pipavav Power Company Ltd,Power Generation,0.47,0.00,5.81,716.6,No,A-
Yashoda Hospital & Research Centre Ltd.,Hospital,0.17,0.00,67.54,24.79,No,A-
GSPC LNG Ltd.,LPG/CNG/PNG/LNG Supplier,-12.72,0.00,0.66,3528.7,No,A-
Maheshwari Logistics Limited,Trading & Distributors,1.35,0.00,1.87,208.26,No,A-
Gujarat State Energy Generation Ltd,Power Generation,0.10,0.00,2.91,400,No,A-
Wildcraft India Ltd. (erstwhile Wildcraft India Pvt. Ltd.),Diversified FMCG,11.37,0.00,0.99,298.33,No,A-
Swiss Park Vanijya Pvt. Ltd.,Power Generation,0.94,0.00,2.66,53.09,No,A
Adani Power Maharashtra Ltd.,Electric Utilities,1.38,0.00,2.45,16534,No,A
Elecon Engineering Company Ltd,Engineering & Construction products,0.26,0.00,12.47,734.5,No,A
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,Civil Construction,2.50,0.00,0.83,75.48,No,A
Adani Power Maharashtra Ltd.,Electric Utilities,1.38,0.00,2.45,16534,No,A
Vimta Labs Ltd.,"Healthcare Research, Analytics & Technology",0.18,0.00,107.15,57.5,No,A
Aditya Infotech Ltd.,Trading & Distributors,0.71,0.00,6.61,362,No,A
Hinduja Group Ltd,Consulting Services,1.16,0.00,0.65,337.5,No,A
Haridaspur Paradip Railway Company Ltd.,Transport Related Services,-1.15,0.00,2.33,1200.02,No,A
SRM Institute of Science and Technology,Education,1.02,0.00,5.74,1365.14,No,A
TVS Electronics Ltd.,IT Enabled Services,0.11,0.00,14.45,77,No,A
KIOCL Ltd.,Iron & Steel,0.30,0.00,-11.60,558,No,A
SMS Ltd. (erstwhile SMS Infrastructure Ltd),Civil Construction,1.68,0.00,4.86,1435,No,A
"Andhra Pradesh Capital Region Development Authority, Vijayawada",Diversified,0.56,0.00,1.38,10000,No,A
Agson Global Pvt Ltd,Trading & Distributors,2.20,0.00,2.07,1421.85,No,A-
Maheshwari Logistics Limited,Paper & Paper Products,2.75,0.00,3.81,292,No,A-
Hinduja Healthcare Limited,Hospital,2.79,0.00,0.54,85,No,A
D P Jain (Nagda - Gogapur) BOT Annuity Project Pvt. Ltd.,Civil Construction,-1.35,0.00,1.69,31.34,No,A
CMR Toyotsu Aluminium India Pvt. Ltd.,"Aluminium, Copper & Zinc Products",0.38,0.00,6.68,117.62,No,A
D P Jain (Nagda - Gogapur) BOT Annuity Project Pvt. Ltd.,Civil Construction,-1.43,0.00,1.83,28.07,No,A
ACME Solar Energy (MP) Pvt Ltd,Power Generation,2.40,0.00,1.88,157.68,No,A
D P Jain (Nagda - Gogapur) BOT Annuity Project Pvt. Ltd.,Civil Construction,-1.43,0.00,1.83,25.6,No,A
Niharika Threads Pvt. Ltd.,Other Textile Products,5.21,0.00,3.65,29.75,No,A-
Dinara Datia DPJ-PATHWAYS Pvt. Ltd.,Civil Construction,-1.23,0.00,1.84,13.6,No,A-
Jaipur Vidyut Vitran Nigam Ltd.,Power - Transmission,-1.15,0.00,-0.38,2227.02,No,A-
Jodhpur Vidyut Vitran Nigam Limited,Power Generation,-1.07,0.00,-0.53,1886.66,No,A-
Rajasthan Rajya Vidyut Prasaran Nigam Ltd.,Power - Transmission,2.63,0.00,1.97,1000,No,A-
Himachal Pradesh State Electricity Board Limited,Electric Utilities,-6.57,0.00,1.31,4577.85,No,A-
Jodhpur Vidyut Vitran Nigam Limited,Power Generation,-1.36,0.00,0.61,1886.17,No,A-
Ajmer Vidyut Vitran Nigam Limited,Power - Transmission,-1.74,0.00,1.02,2434.48,No,A-
Jodhpur Vidyut Vitran Nigam Limited,Power Generation,-1.14,0.00,0.36,2686.67,No,A-
Rajasthan Rajya Vidyut Prasaran Nigam Ltd.,Power - Transmission,2.63,0.00,1.97,1500,No,A-
Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,Power Generation,5.52,0.00,1.81,3000,No,A-
Navayuga Infra Projects Pvt Ltd,Civil Construction,3.67,0.00,0.89,634.85,No,A
Andhra Pradesh Township & Infrastructure Development Corp. Ltd,Housing Finance Company,3.93,0.00,-75759.38,5000,No,A
Andhra Pradesh Township & Infrastructure Development Corp. Ltd,Housing Finance Company,-1.24,0.00,1.77,5000,No,A
Andhra Pradesh Township & Infrastructure Development Corp. Ltd,Housing Finance Company,-1.26,0.00,1.62,300,No,A
Navayuga Infra Projects Pvt Ltd,Civil Construction,-14.04,0.00,0.01,630.8,No,A
Nectar Lifesciences Ltd,Pharmaceuticals,0.89,0.00,1.95,1484.65,No,A
Mohit Minerals Ltd.(Formerly known as Mohit Minerals Pvt. Ltd.),Coal,0.23,0.00,2.39,165,No,A-
Sharmanji Yarns Pvt. Ltd.,Other Textile Products,1.16,0.00,4.71,235.41,No,A-
Tamilnadu Cements Corporation Ltd,Cement & Cement Products,1.68,0.00,-3.64,431.67,No,A
Dhanlaxmi Infrastructure Pvt. Ltd.,"Residential, Commercial Projects",0.52,0.00,0.93,105,No,A
CMR Nikkei India Pvt. Ltd.,"Aluminium, Copper & Zinc Products",1.15,0.00,10.65,85,No,A
CMR-Toyotsu Aluminium Indai Private Limited,"Aluminium, Copper & Zinc Products",0.66,0.00,4.82,56.96,No,A
D P Jain Ujjain Package (Annuity) Road Projects Pvt. Ltd.,Civil Construction,-1.41,0.00,1.87,137.65,No,A
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,Civil Construction,-1.13,0.00,1.92,102,No,A
"Andhra Pradesh Capital Region Development Authority, Vijayawada",Diversified,3.66,0.00,1.47,10000,No,A
Cineline India Ltd,Real Estate related services,0.77,0.00,1.77,135,No,A-
Ghodawat Energy Pvt. Ltd.,Power Generation,0.42,0.00,0.55,51.45,No,A-
D P Jain Datia - Bhander Toll Road Projects Pvt. Ltd.,Civil Construction,-1.19,0.00,1.73,36.67,No,A-
Dinara Datia DPJ-PATHWAYS Pvt. Ltd.,Civil Construction,-33.61,0.00,1.98,16.29,No,A-
Adani Township & Real Estate Co Pvt. Ltd,"Residential, Commercial Projects",49.57,0.00,0.49,382.5,No,A-
Mahalaxmi Infracontract Pvt Ltd,Coal,2.14,0.00,4.65,550,No,A-
Raipur-Rajnandagaon-Warora Transmission Ltd,Power Distribution,4.09,0.00,11.55,969.38,No,A-
Udupi Power Corporation Ltd(Formaly known as Adani Infra (India) Ltd III),Power Generation,2.23,0.00,1.61,210,No,A-
Vishal Fabrics Ltd,Other Textile Products,1.46,0.00,2.57,371.81,No,A-
Swiss Park Vanijya Pvt. Ltd.,Power Generation,1.35,0.00,2.13,56.89,No,A-
CIL Nova Petrochemicals Ltd.,Other Textile Products,0.28,0.00,4.46,28.65,No,A
D P Jain Datia - Bhander Toll Road Projects Pvt. Ltd.,Civil Construction,-1.22,0.00,1.74,29.62,No,A-
Al-Dua Food Processing Pvt Ltd,Meat Products including Poultry,1.68,0.00,2.81,262,No,A-
Adani Developers Pvt. Ltd,"Residential, Commercial Projects",-193.43,0.00,-0.72,250,No,A-
Elecon EPC Projects Ltd,Heavy Electrical Equipment,0.81,0.00,1.36,966.8,No,A-
Tamilnadu Cements Corporation Ltd,Cement & Cement Products,1.19,0.00,1.72,639.15,No,BBB-
Supple Tek Industries Pvt. Ltd,Other Agricultural Products,1.69,0.00,3.28,530,No,A-
D P Jain & Co. Infrastructure Pvt. Ltd.,Civil Construction,0.71,0.00,3.48,597.02,No,A
Macrotech Developers Limited,"Residential, Commercial Projects",0.77,0.00,6.95,1175,No,A
Nectar Lifesciences Limited,Pharmaceuticals,0.71,0.00,1.74,1252.14,No,A-
TVS Electronics Ltd.,Computers Hardware & Equipments,0.05,0.00,27.72,77,No,A
Gandhi Institute of Technology and Management,Education,0.56,0.00,4.51,1206.03,No,A-
JSS Mahavidyapeetha,Education,0.79,0.00,1.78,427.47,No,A-
Kwality Limited,Dairy Products,2.55,0.00,2.40,1150,No,A+
Indian Potash Limited ,Fertilizers,2.26,0.00,1.38,8750,No,A+
OPG Power Generation Pvt. Ltd.,Power Generation,0.87,0.00,3.49,1483,No,A+
Rajesh Exports Limited,"Gems, Jewellery And Watches",1.44,0.00,3.51,550,No,A+
Montecarlo Limited,Civil Construction,0.80,0.00,4.47,1990,No,A+
Century Metal Recycling Ltd.(Formerly known as Century Metal Recycling Pvt. Ltd.),"Aluminium, Copper & Zinc Products",0.48,0.00,6.08,276,No,A+
Chiripal Industries Ltd.,Other Textile Products,0.81,0.00,2.91,483.1,No,A+
OPG Power Generation Pvt. Ltd.,Power Generation,0.71,0.00,2.75,1483,No,A+
Navayuga Engineering Co. Ltd,Civil Construction,-6.78,0.00,1.23,10942.65,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,1.28,0.00,5.04,1200,No,A+
Dilip Buildcon Ltd,Civil Construction,3.78,0.00,2.41,7320,No,A+
OPG Power Generation Pvt. Ltd.,Power Generation,0.71,0.00,2.75,1434.78,No,A+
Rajesh Exports Limited,"Gems, Jewellery And Watches",0.77,0.00,4.06,1100,No,A+
Shivalik Prints Limited,Garments & Apparels,0.48,0.00,5.31,161.74,No,A+
Badve Engineering Ltd.,2/3 Wheelers,3.56,0.00,5.37,2200,No,A+
Rajesh Exports Limited,"Gems, Jewellery And Watches",0.77,0.00,4.06,1100,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,1.30,0.00,3.96,1200,No,A+
Gayatri Jhansi Roadways Ltd.,Civil Construction,7.48,0.00,2.02,181.26,No,A+
Chiripal Industries Ltd.,Other Textile Products,0.76,0.00,3.09,483.1,No,A+
CMR Toyotsu Aluminium India Pvt. Ltd.,"Aluminium, Copper & Zinc Products",0.33,0.00,7.37,117,No,A+
CMR Nikkei India Pvt. Ltd.,"Aluminium, Copper & Zinc Products",0.34,0.00,6.58,91,No,A+
Dilip Buildcon Ltd,Civil Construction,3.73,0.00,2.02,7243.55,No,A+
Century Metal Recycling Ltd.(Formerly known as Century Metal Recycling Pvt. Ltd.),"Aluminium, Copper & Zinc Products",0.37,0.00,4.61,471.12,No,A+
LT Foods Ltd.,Other Agricultural Products,1.24,0.00,7.30,88.44,No,A+
Adani Enterprises Ltd.,Trading & Distributors,0.95,0.00,2.76,1396.12,No,A+
Jindal Worldwide Ltd.,Other Textile Products,2.10,0.00,4.00,585.66,No,A+
LT Foods Ltd.,Other Agricultural Products,1.74,0.00,14.52,891.4,No,A+
Gayatri Lalitpur Roadways Ltd.,Civil Construction,2.36,0.00,1.62,114.13,No,A+
Gayatri Jhansi Roadways Ltd.,Civil Construction,3.44,0.00,1.64,156.23,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,0.63,0.00,2.53,1200,No,A+
OPG Power Generation Pvt. Ltd.,Power Generation,0.40,0.00,3.00,873.66,No,A+
Chiripal Industries Ltd.,Other Textile Products,0.59,0.00,2.76,490.65,No,A+
Badve Engineering Ltd.,2/3 Wheelers,1.67,0.00,2.81,2550.16,No,A+
Romell Real Estate Pvt Ltd,Real Estate related services,1.06,0.00,2.31,318.5,No,A+
Sarguja Rail Corridor Pvt. Ltd,Civil Construction,3.44,0.00,2.55,960,No,A+
Mahesh Edible Oil Industries Ltd.,Edible Oil,0.28,0.00,38.70,375,No,A+
Chemplast Sanmar Ltd,Specialty Chemicals,1.26,0.00,3.49,200,No,A+
Chemplast Cuddalore Vinyls Ltd.,Specialty Chemicals,-1.51,0.00,6.38,2325,No,A+
Globus Warehousing and Trading Pvt. Ltd. (erstwhile Soma Punjab Warehousing Pvt. Ltd.),Civil Construction,38.32,0.00,0.98,688,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,0.42,0.00,2.74,1200,No,A+
Uflex Ltd.,Packaging,0.66,0.00,8.23,440,No,A+
Rialto Exim Pvt. Ltd.,"Gems, Jewellery And Watches",0.04,0.00,2.10,101,No,A+
Nitin Spinners Ltd.,Other Textile Products,0.79,0.00,11.78,1188.21,No,A+
Sri Kauvery Medical Care (India) Ltd (Formerly known as Sri Kavery Medical Care (Trichy) Ltd.),Hospital,0.45,0.00,9.43,456.9,No,A+
Romell Real Estate Pvt Ltd,Real Estate related services,0.76,0.00,2.62,316,No,A+
Wildcraft India Ltd. (erstwhile Wildcraft India Pvt. Ltd.),Diversified,0.25,0.00,2.82,160,No,A+
KIOCL Ltd.,Iron & Steel,0.28,0.00,-5.30,1608,No,A+
KIOCL Ltd.,Iron & Steel,0.28,0.00,-12.04,1608,No,A+
KIOCL Ltd.,Iron & Steel,0.28,0.00,-12.04,1608,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,0.87,0.00,5.22,1200,No,A+
DB Power Ltd,Electric Utilities,1.64,0.00,2.93,7010,No,A+
Gujarat Urja Vikas Nigam Ltd,Power Trading,0.41,0.00,2.88,3252.95,No,A+
Farmgate Agro Milch Pvt Ltd,Dairy Products,1.31,0.00,3.37,204.19,No,A+
GHV (India) Pvt. Ltd.,Civil Construction,1.74,0.00,9.90,1000,No,A+
NLC Tamilnadu Power Ltd.,Electric Utilities,1.21,0.00,3.45,572.85,No,A+
Romell Real Estate Pvt Ltd,Real Estate related services,0.64,0.00,3.20,350,No,A+
Krishnapatnam Port Company Ltd.,Port & Port services,2.36,0.00,1.96,6688.32,No,A+
Telangana State Power Generation Corporation Ltd,Power Generation,3.23,0.00,1.53,10000,No,A+
India Land & Properties Ltd,"Residential, Commercial Projects",1.86,0.00,1.61,450,No,A+
Romell Real Estate Pvt. Ltd.,Real Estate related services,1.76,0.00,2.50,420,No,A+
Indiabulls Distribution Services Limited,Exchange and Data Platform,144.33,0.00,1.85,300,No,A1+
Patanjali Ayurved Ltd,Diversified consumer products,0.90,0.00,5.35,850,No,AA
Patanjali Ayurved Ltd,Diversified consumer products,0.90,0.00,5.35,890,No,AA
Alamelu Charitable Foundation,Hospital,3.00,0.00,45.34,450,No,AA
Welspun Delhi Meerut Expressway Pvt. Ltd. ,Civil Construction,8.34,0.00,0.96,390,No,AA
BEML Ltd.,Heavy Electrical Equipment,0.34,0.00,-2.49,5500,No,AA
Bikaji Foods International Ltd.,Diversified consumer products,0.15,0.00,44.62,150,No,AA
BEML Ltd.,Heavy Electrical Equipment,0.34,0.00,3.24,5500,No,AA
Welspun Delhi Meerut Expressway Pvt. Ltd. ,Civil Construction,4.47,0.00,1.00,389.21,No,AA
Hinduja Group Ltd,Consulting Services,0.72,0.00,-0.57,675,No,AA-
Reliance Innoventures Pvt. Ltd.,Investment Company,0.07,0.00,1.06,250,No,AA-
Hinduja Group Ltd,Consulting Services,1.10,0.00,-0.02,600,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,2.00,0.00,7.67,3005.55,No,AA-
Nandan Denim Ltd.,Other Textile Products,2.13,0.00,8.63,600,No,AA-
Chemplast Sanmar Ltd,Specialty Chemicals,0.08,0.00,9.48,1741.5,No,AA-
Jindal Worldwide Ltd,Other Textile Products,1.59,0.00,3.42,589.9,No,AA-
Welspun Enterprises Limited,Civil Construction,0.79,0.00,7.38,1634,No,AA-
MBL (CGRG) Road Ltd.,Civil Construction,8.67,0.00,-0.65,584,No,AA-
Bridge and Roof Co. (India) Ltd.,Civil Construction,0.47,0.00,2.18,2305,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,0.53,0.00,3.59,2955.92,No,AA-
Azure Power India Pvt. Ltd.,Power Generation,4.29,0.00,1.84,508,No,AA-
Uflex Ltd.,Packaging,0.53,0.00,4.74,440,No,AA-
Adani Infrastructure Management Services Limited-Project 1,Civil Construction,32.63,0.00,0.79,600,No,AA-
Uflex Ltd.,Packaging,0.66,0.00,4.08,440,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,0.52,0.00,3.47,2729,No,AA-
Jindal Worldwide Ltd.,Other Textile Products,1.12,0.00,4.66,565.66,No,AA-
Indore Municipal Corporation,Development Authority,0.09,0.00,11.74,320,No,AA-
Bridge and Roof Co. (India) Ltd.,Civil Construction,0.52,0.00,1.39,2305,No,AA-
Gujarat State Petroleum Corporation Ltd.,Trading - Gas,2.06,0.00,15.33,12500,No,AA-
Raymond UCO Denim Pvt. Ltd.,Other Textile Products,2.01,0.00,0.56,560.27,No,AA-
NLC Tamilnadu Power Ltd.,Electric Utilities,1.24,0.00,3.28,572.85,No,AA-
Gujarat State Petroleum Corporation Ltd.,Trading - Gas,2.06,0.00,15.33,12500,No,AA-
Uflex Ltd.,Packaging,1.32,0.00,10.90,440,No,AA-
Madhya Gujarat Vij Company Ltd,Power Distribution,0.01,0.00,3.46,462.49,No,AA-
Uttar Gujarat Vij Company Ltd,Power Distribution,0.01,0.00,4.50,495.25,No,AA-
Paschim Gujarat Vij Company Ltd,Power Distribution,0.01,0.00,10.93,812,No,AA-
Gujarat Energy Transmission Corporation Ltd.,Power - Transmission,0.72,0.00,21.46,826,No,AA-
Gujarat State Electricity Corporation Ltd,Power Generation,0.42,0.00,38.81,3102.03,No,AA-
Adani Infra (India) Limited - Yes Bank,Diversified Commercial Services,246.81,0.00,-0.21,250,No,AA-
Adani Infrastructure Management Services Limited-Project 1,Civil Construction,1.51,0.00,0.37,600,No,AA-
Adani Infrastructure Management Services Limited-Project 1,Civil Construction,29.15,0.00,0.35,600,No,AA-
Adani Infrastructure Management Services Limited,Civil Construction,0.02,0.00,641.08,200,No,AA-
Welspun Enterprises Limited,Civil Construction,0.79,0.00,7.38,2321,No,AA-
Ezeego One Travels & Tour Ltd.,"Tour, Travel Related Services",-1.84,0.00,2.34,650,No,BBB-
Patanjali Ayurved Ltd,Diversified consumer products,1.12,0.00,4.07,2151.05,No,AA-
BEML Ltd.,Heavy Electrical Equipment,0.34,0.00,-2.49,5500,No,AA
Container Corporation of India Ltd.,Logistics Solution Provider,0.01,0.00,69.52,10500,No,AA+
Adani Transmission Ltd,Power - Transmission,5.13,0.00,1.86,400,No,AA+
Adani Transmission Ltd,Power - Transmission,5.13,0.00,1.86,400,No,AA+
SJVN Ltd.,Electric Utilities,0.94,0.00,41.54,600,No,AA+
Cross Border Power Transmission Company Ltd,Power - Transmission,2.18,0.00,-0.05,207.08,No,AA+
Edelweiss Securities Ltd.,Stockbroking & Allied,2.24,0.00,4.19,50,No,AA+
Reliance Big Entertainment Pvt Ltd,Digital Entertainment,-2.91,0.00,-0.23,300,No,AA+
Western Transco Power Limited,Power - Transmission,4.58,0.00,1.75,645,No,AA+
Western Transco Power Limited,Power - Transmission,1.46,0.00,1.93,527.5,No,AA+
Garden Reach Ship Builders & Engineers Ltd.,Aerospace & Defense,0.03,0.00,29.41,500,No,AAA
Azim Premji Foundation,Education,0.04,0.00,-232.21,20,No,AAA
Azim Premji Foundation For Development,Education,0.01,0.00,-2614.14,20,No,AAA
Hasham Traders,Non Banking Financial Company (NBFC),0.27,0.00,8.64,1000,No,AAA
Titan Company Limited,"Gems, Jewellery And Watches",0.36,0.00,31.12,5457,No,AAA
Titan Company Limited,"Gems, Jewellery And Watches",0.42,0.00,37.90,5000,No,AAA
Titan Company Limited,"Gems, Jewellery And Watches",1.28,0.00,21.40,5000,No,AAA
Titan Company Limited,"Gems, Jewellery And Watches",1.28,0.00,21.40,5000,No,AAA
Mazagon Dock Shipbuilders Ltd (ersrwhile Mazagon Dock Ltd),Ship Building & Allied Services,0.03,0.00,41.98,2385,No,AAA
Titan Company Limited,"Gems, Jewellery And Watches",0.79,0.00,28.35,6000,No,AAA
Azim Premji Foundation,Education,0.01,0.00,-1.22,12,No,AAA
Garden Reach Ship Builders & Engineers Ltd.,Aerospace & Defense,0.21,0.00,23.00,4675.01,No,AAA
Azim Premji Foundation For Development,Education,0.30,0.00,-3892.18,20,No,AAA
Chowdhary Sweet House,Hotels & Resorts,6.38,0.00,-0.26,7.5,No,B
B J Agricomm,Other Food Products,11.83,0.00,0.30,7,No,B
Electro Meck Industries,Civil Construction,0.89,0.00,1.01,6.25,No,B
Navin Cotex,Other Textile Products,1.09,0.00,1.42,6.5,No,B
Patidar Industries Pvt. Ltd.,Other Textile Products,2.74,0.00,1.28,17,No,B
Somnath Ginning Pressing Pvt. Ltd.,Other Textile Products,2.05,0.00,1.71,13.5,No,B
Joshitha Enterprises,Trading & Distributors,3.72,0.00,2.27,9.5,No,B
Nand Enterprises ,Consumer Electronics,5.58,0.00,0.64,5.5,No,B
Narbada Dairy Foods and Farms Pvt. Ltd.,Dairy Products,0.47,0.00,66.56,8.94,No,B
Iswarya Knit Fabs,Garments & Apparels,0.89,0.00,1.26,11.11,No,B
Kodai Cars Pvt. Ltd.,Auto Components & Equipments,18.15,0.00,3.44,12,No,B
Hindustan Fibres Ltd.,Other Textile Products,10.77,0.00,574.25,19,No,B
Ski Himalayas Ropeway Pvt. Ltd.,"Tour, Travel Related Services",1.10,0.00,2.36,14,No,B
S Vaithilingam,Civil Construction,1.27,0.00,7.32,5.75,No,B
AVR Zinc Products Pvt. Ltd.,Commodity Chemicals,10.05,0.00,-26.18,12,No,B
Spectrum Foods Ltd.,Other Food Products,13.42,0.00,1.45,18,No,B
NSN Educational Trust,Education,31.67,0.00,18.62,14.5,No,B
Manisha Infrastructure Pvt. Ltd.,Civil Construction,1.04,0.00,1.17,46,No,B
Haware Infotech Ltd,"Residential, Commercial Projects",1.13,0.00,10.39,6,No,B
Innovative Tyres & Tubes Ltd.,Tyres & Rubber Products,75.58,0.00,2.35,35.72,No,B
Shabari Farms,Meat Products including Poultry,2.40,0.00,1.60,6,No,B
Gyan Cirkitronics Pvt. Ltd,Other Electrical Equipment,2.03,0.00,1.34,5.5,No,B
Madhav Industries,Forest Products,3.31,0.00,1.19,12,No,B
Shiva Educational Society ,Education,0.41,0.00,5.64,12,No,B
Avni Steels,Iron & Steel Products,3.62,0.00,1.23,9,No,B
SLN Properties,"Residential, Commercial Projects",13.62,0.00,137.94,8.27,No,B
Navin Cotex,Other Textile Products,1.54,0.00,1.83,6.5,No,B
Siva Sai Pressing Company ,Other Textile Products,1.72,0.00,-2.52,10,No,B
Raghu Exports (India) Pvt. Ltd,Trading & Distributors,4.74,0.00,1.33,44,No,B
Deviprasad Shetty,"Residential, Commercial Projects",2.26,0.00,12.60,10,No,B
Sirazee Tiles Pvt. Ltd.,Ceramics,1.11,0.00,4.33,18,No,B
Sirazee Spray Dry Industries ,Ceramics,1.46,0.00,3.81,14,No,B
Mohammed Musthafa,Civil Construction,0.73,0.00,35.38,14,No,B
Yugveri Marketing Pvt. Ltd.,Advertising & Media Agencies,2.87,0.00,1.05,57.5,No,B
